,province,municipality,latitude,longitude,detalles,calle,barrio,distrito
27,Guadalajara,Azuqueca de Henares,40.5664728,-3.2613253,"{'road': 'Calle Los Almendros', 'town': 'Azuqueca de Henares', 'province': 'Guadalajara', 'ISO3166-2-lvl6': 'ES-GU', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '19200', 'country': 'España', 'country_code': 'es'}",Calle Los Almendros,,Bulevar - Plaza Castilla
28,Segovia,El Espinar,40.7387257,-4.1888788,"{'road': 'Carretera de la Garganta', 'neighbourhood': 'Sexmo de El Espinar', 'suburb': 'Estación de El Espinar', 'town': 'El Espinar', 'province': 'Segovia', 'ISO3166-2-lvl6': 'ES-SG', 'state': 'Castilla y León', 'ISO3166-2-lvl4': 'ES-CL', 'postcode': '40400', 'country': 'España', 'country_code': 'es'}",Carretera de la Garganta,Sexmo de El Espinar,Estación de El Espinar
29,Madrid,Madrid,40.4074632,-3.7032414,"{'house_number': '23', 'road': 'Calle de Tribulete', 'neighbourhood': 'Lavapiés', 'quarter': 'Embajadores', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28012', 'country': 'España', 'country_code': 'es'}",Calle de Tribulete,Lavapiés-Embajadores,Centro
30,Madrid,Aranjuez,40.0328863,-3.6044561,"{'amenity': 'Estrella de Aranjuez', 'house_number': '14', 'road': 'Calle de Postas', 'quarter': 'Casco Antiguo', 'town': 'Aranjuez', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28300', 'country': 'España', 'country_code': 'es'}",Calle de Postas,Casco Antiguo,Centro
31,Madrid,Madrid,40.4041953,-3.6774173,"{'house_number': '31', 'road': 'Calle de Granada', 'quarter': 'Pacífico', 'suburb': 'Retiro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28007', 'country': 'España', 'country_code': 'es'}","Calle de Granada, 31",Pacífico,Retiro
32,Madrid,Madrid,40.4717009,-3.5826642,"{'house_number': '9', 'road': 'Travesía de Alaró', 'suburb': 'Barajas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28042', 'country': 'España', 'country_code': 'es'}",Travesía de Alaró,Timón,Barajas
33,Madrid,Las Rozas de Madrid,40.5431591,-3.892687,"{'road': 'Vía de servicio A-6', 'suburb': 'Las Matas', 'town': 'Las Rozas de Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28290', 'country': 'España', 'country_code': 'es'}",Vía de servicio A-6,Las Matas- Peñascales,Las Matas- Peñascales
34,Madrid,Madrid,40.4209816,-3.7004074,"{'tourism': 'JC Chueca', 'house_number': '5', 'road': 'Calle de las Infantas', 'neighbourhood': 'Chueca', 'quarter': 'Justicia', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28004', 'country': 'España', 'country_code': 'es'}",Calle de las Infantas,Chueca-Justicia,Centro
35,Madrid,Madrid,40.4006091,-3.6929668,"{'road': 'Calle de Ramírez de Prado', 'quarter': 'Delicias', 'suburb': 'Arganzuela', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28045', 'country': 'España', 'country_code': 'es'}",Calle de Ramírez de Prado,Delicias,Arganzuela
36,Guadalajara,Guadalajara,40.6233964,-3.1579445,"{'amenity': 'Residencia de Mayores Siglo XXI', 'road': 'Calle Jadraque', 'suburb': 'Adoratrices', 'city': 'Guadalajara', 'province': 'Guadalajara', 'ISO3166-2-lvl6': 'ES-GU', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '19002', 'country': 'España', 'country_code': 'es'}",Calle Jadraque,,San Roque-Concordia-Adoratrices
37,Toledo,Illescas,40.1274761,-3.8487022,"{'road': 'Calle Julián del Sanz', 'town': 'Illescas', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45200', 'country': 'España', 'country_code': 'es'}",Calle Julián del Sanz,,
38,Madrid,Madrid,40.3751,-3.77802,"{'road': 'Calle de Navalmoral de la Mata', 'quarter': 'Las Águilas', 'suburb': 'Latina', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28917', 'country': 'España', 'country_code': 'es'}",Calle de Navalmoral de la Mata,Las Águilas,Latina
39,Madrid,Madrid,40.4083913,-3.7015454,"{'amenity': 'aLa Alhambra', 'road': 'Calle de Tribulete', 'neighbourhood': 'Lavapiés', 'quarter': 'Embajadores', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28012', 'country': 'España', 'country_code': 'es'}",Calle de Tribulete,Lavapiés-Embajadores,Centro
40,Madrid,Madrid,40.4347375,-3.6990821,"{'amenity': 'Parroquia de Santa Teresa y Santa Isabel', 'house_number': '2', 'road': 'Glorieta del Pintor Sorolla', 'quarter': 'Trafalgar', 'suburb': 'Chamberí', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28010', 'country': 'España', 'country_code': 'es'}",Glorieta del Pintor Sorolla,Trafalgar,Chamberí
41,Madrid,Madrid,40.3412163,-3.687954,"{'road': 'Calle de Godella', 'quarter': 'San Cristóbal', 'suburb': 'Villaverde', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28021', 'country': 'España', 'country_code': 'es'}",Calle de Godella,San Cristóbal,Villaverde
42,Madrid,Navalcarnero,40.2985117,-3.9763599,"{'road': 'Avenida del Arroyo Juncal', 'quarter': 'La Dehesa', 'suburb': 'Mancigordo', 'town': 'Navalcarnero', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28600', 'country': 'España', 'country_code': 'es'}",Avenida del Arroyo Juncal,La Dehesa,Mancigordo
43,Toledo,Seseña,40.104041,-3.6543404,"{'road': 'CM-4010', 'suburb': 'Seseña Nuevo', 'town': 'Seseña', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45224', 'country': 'España', 'country_code': 'es'}",CM-4010,,Seseña Nuevo
44,Madrid,Madrid,40.3530117,-3.6811646,"{'road': 'Calle Matachel', 'quarter': 'Butarque', 'suburb': 'Villaverde', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28021', 'country': 'España', 'country_code': 'es'}",Calle Matachel,Butarque,Villaverde
45,Toledo,Casarrubios del Monte,40.2539157,-4.0734529,"{'road': 'Calle de Salamanca', 'suburb': 'Calypo Fado', 'village': 'Casarrubios del Monte', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45950', 'country': 'España', 'country_code': 'es'}",Calle de Salamanca,,Calypo Fado
46,Madrid,Madrid,40.4147316,-3.6781755,"{'leisure': 'Jardines de Herrero Palacios', 'road': 'Avenida de Menéndez Pelayo', 'quarter': 'Jerónimos', 'suburb': 'Retiro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28009', 'country': 'España', 'country_code': 'es'}",Avenida de Menéndez Pelayo,Jerónimos,Retiro
47,Madrid,Alcalá de Henares,40.4730968,-3.372235,"{'road': 'Calle Valle de Nocito', 'residential': 'Consejo de Barrio 5. Distrito II', 'suburb': 'Reyes Católicos', 'city_district': 'Distrito II', 'city': 'Alcalá de Henares', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28803', 'country': 'España', 'country_code': 'es'}",Calle Valle de Nocito,Consejo de Barrio 5. Distrito II,Reyes Católicos
48,Madrid,El Escorial,40.5839554,-4.1280487,"{'house_number': '3', 'road': 'Plaza de los Bolos', 'neighbourhood': 'Urbanización Parque Real', 'town': 'El Escorial', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28280', 'country': 'España', 'country_code': 'es'}",Plaza de los Bolos,Urbanización Parque Real,Centro
49,Madrid,Madrid,40.4276796,-3.6944294,"{'historic': 'Palacio de Zurbano', 'road': 'Calle de Fernando El Santo', 'quarter': 'Almagro', 'suburb': 'Chamberí', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28010', 'country': 'España', 'country_code': 'es'}",Calle de Fernando El Santo,Almagro,Chamberí
50,Madrid,Madrid,40.3951105,-3.6998332,"{'house_number': '29', 'road': 'Calle Aldea del Fresno', 'quarter': 'Chopera', 'suburb': 'Arganzuela', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28045', 'country': 'España', 'country_code': 'es'}",Calle Aldea del Fresno,Chopera,Arganzuela
51,Madrid,Madrid,40.4103541,-3.7135429,"{'house_number': '40', 'road': 'Calle de Calatrava', 'neighbourhood': 'Barrio de la Latina', 'quarter': 'Palacio', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28005', 'country': 'España', 'country_code': 'es'}",Calle de Calatrava,Palacio,Centro
52,Madrid,Alcalá de Henares,40.4895154,-3.3728931,"{'highway': 'San Juan del Viso - San Ignacio de Loyola', 'road': 'San Juan del Viso', 'neighbourhood': 'Toreros', 'suburb': 'El Chorrillo', 'city_district': 'Distrito III', 'city': 'Alcalá de Henares', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28807', 'country': 'España', 'country_code': 'es'}",San Juan del Viso,Toreros,El Chorrillo
53,Toledo,Calypo Fado,40.247822,-4.060189,"{'road': 'Calle de Algeciras', 'suburb': 'Calypo Fado', 'village': 'Casarrubios del Monte', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45950', 'country': 'España', 'country_code': 'es'}",Calle de Algeciras,,Calypo Fado
54,Madrid,Madrid,40.3809876,-3.6338528,"{'road': 'Calle Trole', 'quarter': 'Palomeras Sureste', 'suburb': 'Puente de Vallecas', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28031', 'country': 'España', 'country_code': 'es'}","Calle Trole, 9",Palomeras Sureste,Puente de Vallecas
55,Toledo,Calypo Fado,40.2449057,-4.0682374,"{'road': 'Calle de Torremolinos', 'suburb': 'Calypo Fado', 'village': 'Casarrubios del Monte', 'province': 'Toledo', 'ISO3166-2-lvl6': 'ES-TO', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '45950', 'country': 'España', 'country_code': 'es'}",Calle de Torremolinos,,Calypo Fado
56,Madrid,Leganés,40.3173049,-3.78587,"{'road': 'Calle de San Fernando de Henares', 'suburb': 'Arroyo Culebro', 'city_district': 'Polvoranca', 'city': 'Leganés', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28911', 'country': 'España', 'country_code': 'es'}",Calle de San Fernando de Henares,Valdepelayo-Montepinos-Arroyo Culebro,Valdepelayo - Montepinos - Arroyo Culebro
57,Madrid,Coslada,40.426702,-3.5395081,"{'road': 'Calle Venezuela', 'town': 'Coslada', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28823', 'country': 'España', 'country_code': 'es'}",Calle Venezuela,,Valleaguado - La Cañada
58,Madrid,Torrejón de Ardoz,40.4429491,-3.4728317,"{'house_number': '25', 'road': 'Avenida de los Fresnos', 'residential': 'Urbanización Los Fresnos', 'suburb': 'El Castillo', 'city': 'Torrejón de Ardoz', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28850', 'country': 'España', 'country_code': 'es'}",Avenida de los Fresnos,Urbanización Los Fresnos,El Castillo
59,Madrid,Madrid,40.3452777,-3.7126744,"{'house_number': '35', 'road': 'Paseo de Alberto Palacios', 'quarter': 'Villaverde Alto, Casco Histórico de Villaverde', 'suburb': 'Villaverde', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28021', 'country': 'España', 'country_code': 'es'}",Paseo de Alberto Palacios,"Villaverde Alto, Casco Histórico de Villaverde",Villaverde
60,Madrid,Madrid,40.4107557,-3.6985885,"{'craft': 'El Escudero', 'road': 'Calle de los Tres Peces', 'neighbourhood': 'Lavapiés', 'quarter': 'Embajadores', 'city_district': 'Centro', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28012', 'country': 'España', 'country_code': 'es'}",Calle de los Tres Peces,Lavapiés-Embajadores,Centro
61,Madrid,Leganés,40.329273,-3.7624511,"{'amenity': 'Salon de juegos Madrid JP juegos', 'house_number': '6', 'road': 'Avenida del Doctor Martín Vegue Jaudenes', 'quarter': 'Los Santos', 'suburb': 'San Nicasio', 'city': 'Leganés', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28912', 'country': 'España', 'country_code': 'es'}",Avenida del Doctor Martín Vegue Jaudenes,Los Santos,San Nicasio
62,Madrid,Madrid,40.4034375,-3.7024214,"{'house_number': '9', 'road': 'Calle de Moratines', 'quarter': 'Las Acacias', 'suburb': 'Arganzuela', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28005', 'country': 'España', 'country_code': 'es'}",Calle de Moratines,Las Acacias,Arganzuela
63,Madrid,Madrid,40.4271679,-3.6446173,"{'house_number': '70', 'road': 'Calle de Salas Barbadillo', 'quarter': 'Pueblo Nuevo', 'suburb': 'Ciudad Lineal', 'city': 'Madrid', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28017', 'country': 'España', 'country_code': 'es'}",Calle de Salas Barbadillo,Pueblo Nuevo,Ciudad Lineal
64,Guadalajara,Marchamalo,40.6711656,-3.2034239,"{'road': 'Calle del Val', 'town': 'Marchamalo', 'province': 'Guadalajara', 'ISO3166-2-lvl6': 'ES-GU', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '19180', 'country': 'España', 'country_code': 'es'}",Calle del Val,,
65,Guadalajara,Guadalajara,40.6281339,-3.1593396,"{'road': 'Calle del Ferial', 'suburb': 'El Fuerte', 'city': 'Guadalajara', 'province': 'Guadalajara', 'ISO3166-2-lvl6': 'ES-GU', 'state': 'Castilla-La Mancha', 'ISO3166-2-lvl4': 'ES-CM', 'postcode': '19002', 'country': 'España', 'country_code': 'es'}",Calle del Ferial,,El Fuerte
66,Madrid,Camarma de Esteruelas,40.5540497,-3.3700199,"{'road': 'Calle del Cerro', 'town': 'Camarma de Esteruelas', 'state': 'Comunidad de Madrid', 'ISO3166-2-lvl4': 'ES-MD', 'postcode': '28816', 'country': 'España', 'country_code': 'es'}",Calle del Cerro,,
